id,term,def
,Indent-o-Meter,"[] A fiendishly clever ASCII display hack that became a brief fad in 1993-1994; it used combinations of tabs and spaces to produce an analog indicator of the amount of indentation an included portion of a reply had undergone. The full story is at http://world.std.com/~mmcirvin/indent.html."
,"index of X","See [[bu;#fff;;jargon]coefficient of X]."
,"infant mortality","It is common lore among hackers (and in the electronics industry at large; this term is possibly techspeak by now) that the chances of sudden hardware failure drop off exponentially with a machine's time since first use (that is, until the relatively distant time at which enough mechanical wear in I/O devices and thermal-cycling stress in components has accumulated for the machine to start going senile). Up to half of all chip and wire failures happen within a new system's first few weeks; such failures are often referred to as [[b;#fff;]infant mortality] problems (or, occasionally, as [[b;#fff;]sudden infant death syndrome]). See [[bu;#fff;;jargon]bathtub curve], [[bu;#fff;;jargon]burn-in period]."
,infinite,"[common] Consisting of a large number of objects; extreme. Used very loosely as in: [[i;;]This program produces infinite garbage.] [[i;;]He is an infinite loser.] The word most likely to follow [[b;#fff;]infinite], though, is [[bu;#fff;;jargon]hair]. (It has been pointed out that fractals are an excellent example of infinite hair.) These uses are abuses of the word's mathematical meaning. The term [[b;#fff;]semi-infinite], denoting an immoderately large amount of some resource, is also heard. [[i;;]This compiler is taking a semi-infinite amount of time to optimize my program.] See also [[bu;#fff;;jargon]semi]."
,"infinite loop","One that never terminates (that is, the machine [[bu;#fff;;jargon]spin]s or [[bu;#fff;;jargon]buzz]es forever and goes [[bu;#fff;;jargon]catatonic]). There is a standard joke that has been made about each generation's exemplar of the ultra-fast machine: [[i;;]The Cray-3 is so fast it can execute an infinite loop in under 2 seconds!]"
,"Infinite-Monkey Theorem","[[i;;]If you put an infinite number of monkeys at typewriters, eventually one will bash out the script for Hamlet.] (One may also hypothesize a small number of monkeys and a very long period of time.) This theorem asserts nothing about the intelligence of the one [[bu;#fff;;jargon]random] monkey that eventually comes up with the script (and note that the mob will also type out all the possible [[b;#fff;]incorrect] versions of Hamlet). It may be referred to semi-seriously when justifying a [[bu;#fff;;jargon]brute force] method; the implication is that, with enough resources thrown at it, any technical challenge becomes a [[bu;#fff;;jargon]one-banana problem]. This argument gets more respect since [[bu;#fff;;jargon]Linux] justified the [[bu;#fff;;jargon]bazaar] mode of development.Other hackers maintain that the Infinite-Monkey Theorem cannot be true — otherwise Usenet would have reproduced the entire canon of great literature by now.In mid-2002, researchers at Plymouth Univesity in England actually put a working computer in a cage with six crested macaques. The monkeys proceeded to bash the machine with a rock, urinate on it, and type the letter S a lot (later, the letters A, J, L, and M also crept in). The results were published in a limited-edition book, Notes Towards The Complete Works of Shakespeare. A researcher reported: [[i;;]They were quite interested in the screen, and they saw that when they typed a letter, something happened. There was a level of intention there.] Scattered field reports that there are AOL users this competent have been greeted with well-deserved skepticism.This theorem has been traced to the mathematiciamn Émile Borel in 1913, and was first popularized by the astronomer Sir Arthur Eddington. It became part of the idiom of techies via the classic SF short story Inflexible Logic by Russell Maloney, and many younger hackers know it through a reference in Douglas Adams's Hitchhiker's Guide to the Galaxy. Some other references have been collected on the Web. On 1 April 2000 the usage acquired its own Internet standard, RFC2795 (Infinite Monkey Protocol Suite)."
,infinity,"1. The largest value that can be represented in a particular type of variable (register, memory location, data type, whatever). 2. [[b;#fff;]minus infinity]: The smallest such value, not necessarily or even usually the simple negation of plus infinity. In N-bit twos-complement arithmetic, infinity is 2N-1 - 1 but minus infinity is - (2N-1), not -(2N-1 - 1). Note also that this is different from [[b;#fff;]time T equals minus infinity], which is closer to a mathematician's usage of infinity."
,inflate,"To decompress or [[bu;#fff;;jargon]puff] a file. Rare among Internet hackers, used primarily by MS-DOS/Windows types."
,Infocom,"A now-legendary games company, active from 1979 to 1989, that commercialized the MDL parser technology used for [[bu;#fff;;jargon]Zork] to produce a line of text adventure games that remain favorites among hackers. Infocom's games were intelligent, funny, witty, erudite, irreverent, challenging, satirical, and most thoroughly hackish in spirit. The physical game packages from Infocom are now prized collector's items. After being acquired by Activision in 1989 they did a few more [[i;;]modern] (e.g. graphics-intensive) games which were less successful than reissues of their classics.The software, thankfully, is still extant; Infocom games were written in a kind of P-code (called, actually, [[b;#fff;]z-code]) and distributed with a P-code interpreter core, and not only open-source emulators for that interpreter but an actual compiler as well have been written to permit the P-code to be run on platforms the games never originally graced. In fact, new games written in this P-code are still being written. There is a home page at http://www.csd.uwo.ca/Infocom/, and it is even possible to play these games in your browser if it is Java-capable."
,initgame,"[IRC] An [[bu;#fff;;jargon]IRC] version of the trivia game [[i;;]Botticelli], in which one user changes his [[bu;#fff;;jargon]nick] to the initials of a famous person or other named entity, and the others on the channel ask yes or no questions, with the one to guess the person getting to be [[i;;]it] next. As a courtesy, the one picking the initials starts by providing a 4-letter hint of the form sex, nationality, life-status, reality-status. For example, MAAR means [[i;;]Male, American, Alive, Real] (as opposed to [[i;;]fictional]). Initgame can be surprisingly addictive. See also [[bu;#fff;;jargon]hing].[1996 update: a recognizable version of the initgame has become a staple of some radio talk shows in the U.S. We had it first! -- ESR]"
,"insanely great","[Mac community, from Steve Jobs; also BSD Unix people via Bill Joy] Something so incredibly [[bu;#fff;;jargon]elegant] that it is imaginable only to someone possessing the most puissant of [[bu;#fff;;jargon]hacker]-natures."
,installfest,"[Linux community since c.1998] Common portmanteau word for [[i;;]installation festival]; Linux user groups frequently run these. Computer users are invited to bring their machines to have Linux installed on their machines. The idea is to get them painlessly over the biggest hump in migrating to Linux, which is initially installing and configuring it for the user's machine."
,INTERCAL,"[said by the authors to stand for [[b;#fff;]Compiler Language With No Pronounceable Acronym]] A computer language designed by Don Woods and James Lyons in 1972. INTERCAL is purposely different from all other computer languages in all ways but one; it is purely a written language, being totally unspeakable. An excerpt from the INTERCAL Reference Manual will make the style of the language clear:INTERCAL has many other peculiar features designed to make it even more unspeakable. The Woods-Lyons implementation was actually used by many (well, at least several) people at Princeton. The language has been recently reimplemented as C-INTERCAL and is consequently enjoying an unprecedented level of unpopularity; there is even an alt.lang.intercal newsgroup devoted to the study and ... appreciation of the language on Usenet.Inevitably, INTERCAL has a home page on the Web: http://www.catb.org/~esr/intercal/. An extended version, implemented in (what else?) [[bu;#fff;;jargon]Perl] and adding object-oriented features, is rumored to exist. See also [[bu;#fff;;jargon]Befunge]."
,InterCaps,"[Great Britain] Synonym for [[bu;#fff;;jargon]BiCapitalization]."
,interesting,"In hacker parlance, this word has strong connotations of ‘annoying’, or ‘difficult’, or both. Hackers relish a challenge, and enjoy wringing all the irony possible out of the ancient Chinese curse [[i;;]May you live in interesting times]. Oppose [[bu;#fff;;jargon]trivial], [[bu;#fff;;jargon]uninteresting]."
,Internet,"The mother of all networks. First incarnated beginning in 1969 as the ARPANET, a U.S. Department of Defense research testbed. Though it has been widely believed that the goal was to develop a network architecture for military command-and-control that could survive disruptions up to and including nuclear war, this is a myth; in fact, ARPANET was conceived from the start as a way to get most economical use out of then-scarce large-computer resources. Robert Herzfeld, who was director of ARPA at the time, has been at some pains to debunk the [[i;;]survive-a-nuclear-war] myth, but it seems unkillable.As originally imagined, ARPANET's major use would have been to support what is now called remote login and more sophisticated forms of distributed computing, but the infant technology of electronic mail quickly grew to dominate actual usage. Universities, research labs and defense contractors early discovered the Internet's potential as a medium of communication between [[b;#fff;]humans] and linked up in steadily increasing numbers, connecting together a quirky mix of academics, techies, hippies, SF fans, hackers, and anarchists. The roots of this lexicon lie in those early years.Over the next quarter-century the Internet evolved in many ways. The typical machine/OS combination moved from [[bu;#fff;;jargon]DEC] [[bu;#fff;;jargon]PDP-10]s and [[bu;#fff;;jargon]PDP-20]s, running [[bu;#fff;;jargon]TOPS-10] and [[bu;#fff;;jargon]TOPS-20], to PDP-11s and [[bu;#fff;;jargon]VAX]en and Suns running [[bu;#fff;;jargon]Unix], and in the 1990s to Unix on Intel microcomputers. The Internet's protocols grew more capable, most notably in the move from NCP/IP to [[bu;#fff;;jargon]TCP/IP] in 1982 and the implementation of Domain Name Service in 1983. It was around this time that people began referring to the collection of interconnected networks with ARPANET at its core as [[i;;]the Internet].The ARPANET had a fairly strict set of participation guidelines -- connected institutions had to be involved with a DOD-related research project. By the mid-80s, many of the organizations clamoring to join didn't fit this profile. In 1986, the National Science Foundation built NSFnet to open up access to its five regional supercomputing centers; NSFnet became the backbone of the Internet, replacing the original ARPANET pipes (which were formally shut down in 1990). Between 1990 and late 1994 the pieces of NSFnet were sold to major telecommunications companies until the Internet backbone had gone completely commercial.That year, 1994, was also the year the mainstream culture discovered the Internet. Once again, the [[bu;#fff;;jargon]killer app] was not the anticipated one — rather, what caught the public imagination was the hypertext and multimedia features of the World Wide Web. Subsequently the Internet has seen off its only serious challenger (the OSI protocol stack favored by European telecoms monopolies) and is in the process of absorbing into itself many of the proprietary networks built during the second wave of wide-area networking after 1980. By 1996 it had become a commonplace even in mainstream media to predict that a globally-extended Internet would become the key unifying communications technology of the next century. See also [[bu;#fff;;jargon]the network]."
,"Internet Death Penalty","[Usenet] (often abbreviated IDP) The ultimate sanction against [[bu;#fff;;jargon]spam]-emitting sites — complete shunning at the router level of all mail and packets, as well as Usenet messages, from the offending domain(s). Compare [[bu;#fff;;jargon]Usenet Death Penalty], with which it is sometimes confused."
,"Internet Exploder","[very common] Pejorative hackerism for Microsoft's [[i;;]Internet Explorer] web browser (also [[i;;]Internet Exploiter]). Compare [[bu;#fff;;jargon]HP-SUX], [[bu;#fff;;jargon]Macintrash], [[bu;#fff;;jargon]sun-stools], [[bu;#fff;;jargon]Slowlaris]."
,"Internet Exploiter","Another common name-of-insult for Internet Explorer, Microsoft's overweight Web Browser; more hostile than [[bu;#fff;;jargon]Internet Exploder]. Reflects widespread hostility to Microsoft and a sense that it is seeking to hijack, monopolize, and corrupt the Internet. Compare [[bu;#fff;;jargon]Exploder] and the less pejorative [[bu;#fff;;jargon]Netscrape]."
,interrupt,"1. [techspeak] [[b;#fff;]n.] On a computer, an event that interrupts normal processing and temporarily diverts flow-of-control through an [[i;;]interrupt handler] routine. See also [[bu;#fff;;jargon]trap]. 2. [[b;#fff;]interj.] A request for attention from a hacker. Often explicitly spoken. [[i;;]Interrupt — have you seen Joe recently?] See [[bu;#fff;;jargon]priority interrupt]."
,"interrupts locked out","When someone is ignoring you. In a restaurant, after several fruitless attempts to get the waitress's attention, a hacker might well observe [[i;;]She must have interrupts locked out]. The synonym [[b;#fff;]interrupts disabled] is also common. Variations abound; [[i;;]to have one's interrupt mask bit set] and [[i;;]interrupts masked out] are also heard. See also [[bu;#fff;;jargon]spl]."
,intertwingled,"[[b;#fff;]adj.] [Invented by Theodor Holm Nelson, prob. a blend of [[i;;]mingled] and [[i;;]intertwined].] Connected together in a complex way; specifically, composed of one another's components."
,intro,"[[[bu;#fff;;jargon]demoscene]] Introductory [[bu;#fff;;jargon]screen] of some production. 2. A short [[bu;#fff;;jargon]demo], usually showing just one or two [[bu;#fff;;jargon]screen]s. 3. Small, usually 64k, 40k or 4k [[bu;#fff;;jargon]demo]. Sizes are generally dictated by [[bu;#fff;;jargon]compo] rules. See also [[bu;#fff;;jargon]dentro], [[bu;#fff;;jargon]demo]."
,IRC,"[Internet Relay Chat] A worldwide [[i;;]party line] network that allows one to converse with others in real time. IRC is structured as a network of Internet servers, each of which accepts connections from client programs, one per user. The IRC community and the [[bu;#fff;;jargon]Usenet] and [[bu;#fff;;jargon]MUD] communities overlap to some extent, including both hackers and regular folks who have discovered the wonders of computer networks. Some Usenet jargon has been adopted on IRC, as have some conventions such as [[bu;#fff;;jargon]emoticon]s. There is also a vigorous native jargon, represented in this lexicon by entries marked ‘[IRC]’. See also [[bu;#fff;;jargon]talk mode]."
,iron,"Hardware, especially older and larger hardware of [[bu;#fff;;jargon]mainframe] class with big metal cabinets housing relatively low-density electronics (but the term is also used of modern supercomputers). Often in the phrase [[bu;#fff;;jargon]big iron]. Oppose [[bu;#fff;;jargon]silicon]. See also [[bu;#fff;;jargon]dinosaur]."
,"Iron Age","In the history of computing, 1961-1971 — the formative era of commercial [[bu;#fff;;jargon]mainframe] technology, when ferrite-core [[bu;#fff;;jargon]dinosaur]s ruled the earth. The Iron Age began, ironically enough, with the delivery of the first minicomputer (the PDP-1) and ended with the introduction of the first commercial microprocessor (the Intel 4004) in 1971. See also [[bu;#fff;;jargon]Stone Age]; compare [[bu;#fff;;jargon]elder days]."
,"iron box","[Unix/Internet] A special environment set up to trap a [[bu;#fff;;jargon]cracker] logging in over remote connections long enough to be traced. May include a modified [[bu;#fff;;jargon]shell] restricting the cracker's movements in unobvious ways, and ‘bait’ files designed to keep him interested and logged on. See also [[bu;#fff;;jargon]back door], [[bu;#fff;;jargon]firewall machine], [[bu;#fff;;jargon]Venus flytrap], and Clifford Stoll's account in The Cuckoo's Egg of how he made and used one (see the Bibliography in Appendix C). Compare [[bu;#fff;;jargon]padded cell], [[bu;#fff;;jargon]honey pot]."
,ironmonger,"[IBM] A hardware specialist (derogatory). Compare [[bu;#fff;;jargon]sandbender], [[bu;#fff;;jargon]polygon pusher]."
,"ISO standard cup of tea","[South Africa] A cup of tea with milk and one teaspoon of sugar, where the milk is poured into the cup before the tea. Variations are ISO 0, with no sugar; ISO 2, with two spoons of sugar; and so on.This may derive from the [[i;;]NATO standard] cup of coffee and tea (milk and two sugars), military slang going back to the late 1950s and parodying NATO's relentless bureaucratic drive to standardize parts across European and U.S. militaries.Like many ISO standards, this one has a faintly alien ring in North America, where hackers generally shun the decadent British practice of adulterating perfectly good tea with dairy products and prefer instead to add a wedge of lemon, if anything. If one were feeling extremely silly, one might hypothesize an analogous [[b;#fff;]ANSI standard cup of tea] and wind up with a political situation distressingly similar to several that arise in much more serious technical contexts. (Milk and lemon don't mix very well.)[2000 update: There is now, in fact, an ISO standard 3103: ‘Method for preparation of a liquor of tea for use in sensory tests.’, alleged to be equivalent to British Standard BS6008: How to make a standard cup of tea. —ESR]"
,ISP,"Common abbreviation for Internet Service Provider, a kind of company that barely existed before 1993. ISPs sell Internet access to the mass market. While the big nationwide commercial BBSs with Internet access (like America Online, CompuServe, GEnie, Netcom, etc.) are technically ISPs, the term is usually reserved for local or regional small providers (often run by hackers turned entrepreneurs) who resell Internet access cheaply without themselves being information providers or selling advertising. Compare [[bu;#fff;;jargon]NSP]."
,Itanic,"The Intel Itanium, so called in reference to the legendary disaster that was the Titanic. This term bubbled up in several places on the Internet in 1999 when it was beginning to become clear that the Itanium was turning into the most expensive and protracted flop in the history of the semiconductor industry."
,ITS,"1. Incompatible Time-sharing System, an influential though highly idiosyncratic operating system written for PDP-6s and PDP-10s at MIT and long used at the MIT AI Lab. Much AI-hacker jargon derives from ITS folklore, and to have been ‘an ITS hacker’ qualifies one instantly as an old-timer of the most venerable sort. ITS pioneered many important innovations, including transparent file sharing between machines and terminal-independent I/O. After about 1982, most actual work was shifted to newer machines, with the remaining ITS boxes run essentially as a hobby and service to the hacker community. The shutdown of the lab's last ITS machine in May 1990 marked the end of an era and sent old-time hackers into mourning nationwide (see [[bu;#fff;;jargon]high moby]). There is an ITS home page. 2. A mythical image of operating-system perfection worshiped by a bizarre, fervent retro-cult of old-time hackers and ex-users (see [[bu;#fff;;jargon]troglodyte], sense 2). ITS worshipers manage somehow to continue believing that an OS maintained by assembly-language hand-hacking that supported only monocase 6-character filenames in one directory per account remains superior to today's state of commercial art (their venom against [[bu;#fff;;jargon]Unix] is particularly intense). See also [[bu;#fff;;jargon]holy wars], [[bu;#fff;;jargon]Weenix]."
,IWBNI,"Abbreviation for ‘It Would Be Nice If’. Compare [[bu;#fff;;jargon]WIBNI]."
,IYFEG,"[Usenet] Abbreviation for ‘Insert Your Favorite Ethnic Group’. Used as a meta-name when telling ethnic jokes on the net to avoid offending anyone. See [[bu;#fff;;jargon]JEDR]."
,"J. Random","[common; generalized from [[bu;#fff;;jargon]J. Random Hacker]] Arbitrary; ordinary; any one; any old. ‘J. Random’ is often prefixed to a noun to make a name out of it. It means roughly [[b;#fff;]some particular] or [[b;#fff;]any specific one]. [[i;;]Would you let J. Random Loser marry your daughter?] The most common uses are ‘J. Random Hacker’, ‘J. Random Loser’, and ‘J. Random Nerd’ ([[i;;]Should J. Random Loser be allowed to kill other peoples' processes?]), but it can be used simply as an elaborate version of [[bu;#fff;;jargon]random] in any sense."
,"J. Random Hacker","[very common] A mythical figure like the Unknown Soldier; the archetypal hacker nerd. This term is one of the oldest in the jargon, apparently going back to MIT in the 1960s. See [[bu;#fff;;jargon]random], [[bu;#fff;;jargon]Suzie COBOL]. This may originally have been inspired by ‘J. Fred Muggs’, a show-biz chimpanzee whose name was a household word back in the early days of [[bu;#fff;;jargon]TMRC], and was probably influenced by ‘J. Presper Eckert’ (one of the co-inventors of the electronic computer). See also [[bu;#fff;;jargon]Fred Foobar]."
,"jack in","To log on to a machine or connect to a network or [[bu;#fff;;jargon]BBS], esp. for purposes of entering a [[bu;#fff;;jargon]virtual reality] simulation such as a [[bu;#fff;;jargon]MUD] or [[bu;#fff;;jargon]IRC] (leaving is [[i;;]jacking out]). This term derives from [[bu;#fff;;jargon]cyberpunk] SF, in which it was used for the act of plugging an electrode set into neural sockets in order to interface the brain directly to a virtual reality. It is primarily used by MUD and IRC fans and younger hackers on BBS systems."
,jaggies,"The ‘stairstep’ effect observable when an edge (esp. a linear edge of very shallow or steep slope) is rendered on a pixel device (as opposed to a vector display)."
,Java,"An object-oriented language originally developed at Sun by James Gosling (and known by the name [[i;;]Oak]) with the intention of being the successor to [[bu;#fff;;jargon]C++] (the project was however originally sold to Sun as an embedded language for use in set-top boxes). After the great Internet explosion of 1993-1994, Java was hacked into a byte-interpreted language and became the focus of a relentless hype campaign by Sun, which touted it as the new language of choice for distributed applications.Java is indeed a stronger and cleaner design than C++ and has been embraced by many in the hacker community — but it has been a considerable source of frustration to many others, for reasons ranging from uneven support on different Web browser platforms, performance issues, and some notorious deficiencies in some of the standard toolkits (AWT in particular). [[bu;#fff;;jargon]Microsoft]'s determined attempts to corrupt the language (which it rightly sees as a threat to its OS monopoly) have not helped. As of 2003, these issues are still in the process of being resolved.Despite many attractive features and a good design, it is difficult to find people willing to praise Java who have tried to implement a complex, real-world system with it (but to be fair it is early days yet, and no other language has ever been forced to spend its childhood under the limelight the way Java has). On the other hand, Java has already been a big [[bu;#fff;;jargon]win] in academic circles, where it has taken the place of [[bu;#fff;;jargon]Pascal] as the preferred tool for teaching the basics of good programming to the next generation of hackers."
,JCL,"1. IBM's supremely [[bu;#fff;;jargon]rude] Job Control Language. JCL is the script language used to control the execution of programs in IBM's batch systems. JCL has a very [[bu;#fff;;jargon]fascist] syntax, and some versions will, for example, [[bu;#fff;;jargon]barf] if two spaces appear where it expects one. Most programmers confronted with JCL simply copy a working file (or card deck), changing the file names. Someone who actually understands and generates unique JCL is regarded with the mixed respect one gives to someone who memorizes the phone book. It is reported that hackers at IBM itself sometimes sing [[i;;]Who's the breeder of the crud that mangles you and me? I-B-M, J-C-L, M-o-u-s-e] to the tune of the Mickey Mouse Club theme to express their opinion of the beast. 2. A comparative for any very [[bu;#fff;;jargon]rude] software that a hacker is expected to use. [[i;;]That's as bad as JCL.] As with [[bu;#fff;;jargon]COBOL], JCL is often used as an archetype of ugliness even by those who haven't experienced it. See also [[bu;#fff;;jargon]IBM], [[bu;#fff;;jargon]fear and loathing].A (poorly documented, naturally) shell simulating JCL syntax is available at the Retrocomputing Museum http://www.catb.org/retro/."
,JEDR,"Synonymous with [[bu;#fff;;jargon]IYFEG]. At one time, people in the Usenet newsgroup rec.humor.funny tended to use ‘JEDR’ instead of [[bu;#fff;;jargon]IYFEG] or ‘<ethnic>’; this stemmed from a public attempt to suppress the group once made by a loser with initials JEDR after he was offended by an ethnic joke posted there. (The practice was [[bu;#fff;;jargon]retcon]ned by expanding these initials as ‘Joke Ethnic/Denomination/Race’.) After much sound and fury JEDR faded away; this term appears to be doing likewise. JEDR's only permanent effect on the net.culture was to discredit ‘sensitivity’ arguments for censorship so thoroughly that more recent attempts to raise them have met with immediate and near-universal rejection."
,"Jeff K.","The spiritual successor to [[bu;#fff;;jargon]B1FF] and the archetype of [[bu;#fff;;jargon]script kiddies]. Jeff K. is a sixteen-year-old suburbanite who fancies himself a [[i;;]l33t haX0r], although his knowledge of computers seems to be limited to the procedure for getting Quake up and running. His Web page http://www.somethingawful.com/jeffk/ features a number of hopelessly naive articles, essays, and rants, all filled with the kind of misspellings, [[bu;#fff;;jargon]studlycaps], and number-for-letter substitutions endemic to the script kiddie and [[bu;#fff;;jargon]warez d00dz] communities. Jeff's offerings, among other things, include hardware advice (such as [[i;;]AMD VERSIS PENTIUM] and [[i;;]HOW TO OVARCLOAK YOUR COMPUTAR]), his own Quake clan (Clan 40 OUNSCE), and his own comic strip (Wacky Fun Computar Comic Jokes).Like B1FF, Jeff K. is (fortunately) a hoax. Jeff K. was created by internet game journalist Richard [[i;;]Lowtax] Kyanka, whose web site Something Awful (http://www.somethingawful.com) highlights unintentionally humorous news items and Web sites, as a parody of the kind of teenage [[bu;#fff;;jargon]luser] who infests Quake servers, chat rooms, and other places where computer enthusiasts congregate. He is well-recognized in the PC game community and his influence has spread to hacker [[bu;#fff;;jargon]fora] like Slashdot as well."
,jello,"[Usenet: by analogy with [[bu;#fff;;jargon]spam]] A message that is both excessively cross-posted and too frequently posted, as opposed to [[bu;#fff;;jargon]spam] (which is merely too frequently posted) or [[bu;#fff;;jargon]velveeta] (which is merely excessively cross-posted). This term is widely recognized but not commonly used; most people refer to both kinds of abuse or their combination as spam."
,"Jeopardy-style quoting","See [[bu;#fff;;jargon]top-post]."
,jibble,"[UK] Unspecified stuff. An unspecified action. A deliberately blank word; compare [[bu;#fff;;jargon]gorets]. A deliberate experiment in tracking the spread of a near-meaningless word. See http://www.jibble.org/jibblemeaning.php."
,jiffy,"1. The duration of one tick of the system clock on your computer (see [[bu;#fff;;jargon]tick]). Often one AC cycle time (1/60 second in the U.S. and Canada, 1/50 most other places), but more recently 1/100 sec has become common. [[i;;]The swapper runs every 6 jiffies] means that the virtual memory management routine is executed once for every 6 ticks of the clock, or about ten times a second. 2. Confusingly, the term is sometimes also used for a 1-millisecond [[bu;#fff;;jargon]wall time] interval. 3. Even more confusingly, physicists semi-jokingly use ‘jiffy’ to mean the time required for light to travel one foot in a vacuum, which turns out to be close to one [[b;#fff;]nanosecond]. Other physicists use the term for the quantum-nechanical lower bound on meaningful time lengths, 4. Indeterminate time from a few seconds to forever. [[i;;]I'll do it in a jiffy] means certainly not now and possibly never. This is a bit contrary to the more widespread use of the word. Oppose [[bu;#fff;;jargon]nano]. See also [[bu;#fff;;jargon]Real Soon Now]."
,"job security","When some piece of code is written in a particularly [[bu;#fff;;jargon]obscure] fashion, and no good reason (such as time or space optimization) can be discovered, it is often said that the programmer was attempting to increase his job security (i.e., by making himself indispensable for maintenance). This sour joke seldom has to be said in full; if two hackers are looking over some code together and one points at a section and says [[i;;]job security], the other one may just nod."
,jock,"1. A programmer who is characterized by large and somewhat brute-force programs. See [[bu;#fff;;jargon]brute force]. 2. When modified by another noun, describes a specialist in some particular computing area. The compounds [[b;#fff;]compiler jock] and [[b;#fff;]systems jock] seem to be the best-established examples."
,"joe code","1. Code that is overly [[bu;#fff;;jargon]tense] and unmaintainable. [[i;;]Perl may be a handy program, but if you look at the source, it's complete joe code.] 2. Badly written, possibly buggy code.Correspondents wishing to remain anonymous have fingered a particular Joe at the Lawrence Berkeley Laboratory and observed that usage has drifted slightly; the original sobriquet ‘Joe code’ was intended in sense 1.1994 update: This term has now generalized to ‘<name> code’, used to designate code with distinct characteristics traceable to its author. [[i;;]This section doesn't check for a NULL return from malloc()! Oh. No wonder! It's Ed code!]. Used most often with a programmer who has left the shop and thus is a convenient scapegoat for anything that is wrong with the project."
,joe-job,"A spam run forged to appear as though it came from an innocent party, who is then generally flooded by the bounces; or, the act of performing such a run. The original incident is described here."
,"juggling eggs","Keeping a lot of [[bu;#fff;;jargon]state] in your head while modifying a program. [[i;;]Don't bother me now, I'm juggling eggs], means that an interrupt is likely to result in the program's being scrambled. In the classic 1975 first-contact SF novel The Mote in God's Eye, by Larry Niven and Jerry Pournelle, an alien describes a very difficult task by saying [[i;;]We juggle priceless eggs in variable gravity.] It is possible that this was intended as tribute to a less colorful use of the same image in Robert Heinlein's influential 1961 novel Stranger in a Strange Land. See also [[bu;#fff;;jargon]hack mode] and [[bu;#fff;;jargon]on the gripping hand]."
,juice,"The weight of a given node in some sort of graph (like a web of trust or a relevance-weighted search query). This appears to have been generalized from [[bu;#fff;;jargon]google juice], but may derive from black urban slang for power or a respect. Example: [[i;;]I signed your key, but I really don't have the juice to be authoritative.]"
,"jump off into never-never land","[from J. M. Barrie's Peter Pan] An unexpected jump in a program that produces catastrophic or just plain weird results. Compare [[bu;#fff;;jargon]hyperspace]."
,jupiter,"[IRC] To kill an [[bu;#fff;;jargon]IRC] [[bu;#fff;;jargon]bot] or user and then take its place by adopting its [[bu;#fff;;jargon]nick] so that it cannot reconnect. Named after a particular IRC user who did this to NickServ, the robot in charge of preventing people from inadvertently using a nick claimed by another user. Now commonly shortened to [[b;#fff;]jupe]."
,K,"[from [[bu;#fff;;jargon]kilo-]] A kilobyte. Used both as a spoken word and a written suffix (like [[bu;#fff;;jargon]meg] and [[bu;#fff;;jargon]gig] for megabyte and gigabyte). See [[bu;#fff;;jargon]quantifiers]."
,K&R,"Brian Kernighan and Dennis Ritchie's book The C Programming Language, esp. the classic and influential first edition (Prentice-Hall 1978; ISBN 0-13-110163-3). Syn. [[bu;#fff;;jargon]Old Testament]. See also [[bu;#fff;;jargon]New Testament]."
,k-,"[rare; poss fr. [[b;#fff;]kilo-] prefix] Extremely. Rare among hackers, but quite common among crackers and [[bu;#fff;;jargon]warez d00dz] in compounds such as [[b;#fff;]k-kool] [[b;#fff;]/K´kool´/], [[b;#fff;]k-rad] [[b;#fff;]/K´rad´/], and [[b;#fff;]k-awesome] [[b;#fff;]/K´aw`sm/]. Also used to intensify negatives; thus, [[b;#fff;]k-evil], [[b;#fff;]k-lame], [[b;#fff;]k-screwed], and [[b;#fff;]k-annoying]. Overuse of this prefix, or use in more formal or technical contexts, is considered an indicator of [[bu;#fff;;jargon]lamer] status."
,kahuna,"[IBM: from the Hawaiian title for a shaman] Synonym for [[bu;#fff;;jargon]wizard], [[bu;#fff;;jargon]guru]."
,"kamikaze packet","The ‘official’ jargon for what is more commonly called a [[bu;#fff;;jargon]Christmas tree packet]. [[bu;#fff;;jargon]RFC]-1025, TCP and IP Bake Off says:See also [[bu;#fff;;jargon]Chernobyl packet]."
,"kangaroo code","Syn. [[bu;#fff;;jargon]spaghetti code]."
,ken,"1. [Unix] Ken Thompson, principal inventor of Unix. In the early days he used to hand-cut distribution tapes, often with a note that read [[i;;]Love, ken]. Old-timers still use his first name (sometimes uncapitalized, because it's a login name and mail address) in third-person reference; it is widely understood (on Usenet, in particular) that without a last name ‘Ken’ refers only to Ken Thompson. Similarly, ‘Dennis’ without last name means Dennis Ritchie (and he is often known as dmr). See also [[bu;#fff;;jargon]demigod], [[bu;#fff;;jargon]Unix]. 2. A flaming user. This was originated by the Software Support group at Symbolics because the two greatest flamers in the user community were both named Ken."
,"kernel-of-the-week club","The fictional society that [[bu;#fff;;jargon]BSD] [[bu;#fff;;jargon]bigot]s claim [[bu;#fff;;jargon]Linux] users belong to, alluding to the release-early-release-often style preferred by the kernel maintainers. See [[bu;#fff;;jargon]bazaar]. This was almost certainly inspired by the earlier [[bu;#fff;;jargon]bug-of-the-month club]."
,kgbvax,"See [[bu;#fff;;jargon]kremvax]."
